Sm154_Ecm,Sm154_Eeff,Sm154_Ratio,Sm154_Err,Sm154_Dqel,Sm154_Derror,Sm154_Eeff-VB
43.73599094,43.71926589,1.002,0.004,-0.000563923,0.001076445,0.742010623
46.00530776,45.9877149,1.001,0.0035,0.001801189,0.001400548,0.780511115
47.36694859,47.34883502,0.9967,0.0039,0.001964507,0.002271775,0.803612271
48.72863471,48.71000042,0.9957,0.004,0.001516715,0.002839938,0.826714196
50.090348,50.07119298,0.9926,0.0038,0.006507073,0.002900107,0.849816581
51.45024953,51.43057447,0.9813,0.0042,0.009131562,0.002963968,0.872888229
52.81144647,52.79125088,0.9655,0.0039,0.018131531,0.004507534,0.895981855
53.49206306,53.47160719,0.9488,0.0038,0.031735976,0.005511926,0.907528975
54.17267965,54.15196351,0.9224,0.0035,0.044108612,0.005285859,0.919076095
54.85330529,54.83232887,0.8887,0.0035,0.054702186,0.005096,0.930623369
55.53394,55.5127033,0.8479,0.0033,0.066626668,0.004848749,0.942170796
56.21458376,56.19308678,0.7981,0.0031,0.082749697,0.004526382,0.953718377
56.89522753,56.87347026,0.7353,0.0028,0.095061129,0.004224219,0.965265958
57.57588035,57.5538628,0.6687,0.0028,0.117524409,0.003879684,0.976813693
58.25521059,58.23293325,0.5756,0.0022,0.129799116,0.003329803,0.988338989
58.935646,58.91310845,0.4923,0.0018,0.136611017,0.00284375,0.999883036
59.61608141,59.59328366,0.3897,0.0019,0.126397577,0.002579126,1.011427082
60.29652588,60.27346792,0.3204,0.0014,0.109055883,0.002102468,1.022971282
